They do not!	They do to!
Calvin?!	What? Whatever you want, Helen!
What? Whatever you want, Helen!	If I...you know...
If I...you know...	Yes!
Yes!	And I was wondering...if...if I could have a...
And I was wondering...if...if I could have a...	No.  I think it's just right.
No.  I think it's just right.	What shall we call him?
What shall we call him?	I've noticed.
I've noticed.	No, Calvin.  Babies cry.
No, Calvin.  Babies cry.	Is there a problem?
Is there a problem?	Honey?
Honey?	Uh, oh. Now it's time.
Uh, oh. Now it's time.	What?
What?	Oh, no.
Oh, no.	I told you! I've got everything!
I told you! I've got everything!	You have tranquilizers?
You have tranquilizers?	Would you like a tranquilizer?
Would you like a tranquilizer?	No. No! Calvin, this is different! Believe me!
No. No! Calvin, this is different! Believe me!	How could you?! This is just like home!
How could you?! This is just like home!	Maybe I've just got the creeps.
Maybe I've just got the creeps.	Really?
Really?	No, Calvin, you're favorite.
No, Calvin, you're favorite.	Hot Dr. Pepper! Your favorite!
Hot Dr. Pepper! Your favorite!	I'm not hungry.
I'm not hungry.	Burnt to a crisp.  I've given you the most well-done cut.
Burnt to a crisp.  I've given you the most well-done cut.	All our friends...
All our friends...	We have to be strong, sweetheart. If not for ourselves, for the child.
We have to be strong, sweetheart. If not for ourselves, for the child.	No.
No.	Hi, honey! Feeling better?
Hi, honey! Feeling better?	To go up.
To go up.	To go up.
To go up.	It's safe.
It's safe.	Then after that it's safe.
Then after that it's safe.	Thirty -five years!
Thirty -five years!	To keep us from trying to leave. After an atomic blast there's a radiation half-life that lasts thirty five years.
To keep us from trying to leave. After an atomic blast there's a radiation half-life that lasts thirty five years.	The locks?
The locks?	The locks.
The locks.	What's that noise?
What's that noise?	To you maybe.
To you maybe.	Home sweet home!
Home sweet home!	As long as we've got that straight.
As long as we've got that straight.	Yes, dear!
Yes, dear!	Now you listen to me Calvin Webber, when this baby comes, you're going to be out in the waiting room smoking yourself to death with all the other fathers.
Now you listen to me Calvin Webber, when this baby comes, you're going to be out in the waiting room smoking yourself to death with all the other fathers.	I've read up on it. I'll deliver the baby myself if I have to.
I've read up on it. I'll deliver the baby myself if I have to.	But, what if I go into labor? That could happen any time.
But, what if I go into labor? That could happen any time.	Rather safe than sorry. That's my motto!
Rather safe than sorry. That's my motto!	Days??
Days??	I don't know. For this thing to blow over, it could take days.
I don't know. For this thing to blow over, it could take days.	How long will we have to stay down here?
How long will we have to stay down here?	Yeah, yeah. Okay.  Give me the roast and watch your step.  I'll come back for the radio.
Yeah, yeah. Okay.  Give me the roast and watch your step.  I'll come back for the radio.	Oh, much worse. But not as bad as that Mexican Jumping Bean dip. You remember that?
Oh, much worse. But not as bad as that Mexican Jumping Bean dip. You remember that?	Worse than your Kraft Holiday dip?
Worse than your Kraft Holiday dip?	Cheese is particularly troublesome.
Cheese is particularly troublesome.	I just hope those plates aren't radioactive by tomorrow morning.
I just hope those plates aren't radioactive by tomorrow morning.	Calvin, I wish you would have at least let me do the dishes. It's not going to be that easy getting all that dried- on food off my nice plates.
Calvin, I wish you would have at least let me do the dishes. It's not going to be that easy getting all that dried- on food off my nice plates.	Yes.
Yes.	You hear that?!
You hear that?!	I never know anymore.
I never know anymore.	No.  They all do.
No.  They all do.	Did you rig it to do that? You're so clever.
Did you rig it to do that? You're so clever.	It shuts off automatically.
It shuts off automatically.	Time? Oh, no Calvin. It's not time yet. I still have--
Time? Oh, no Calvin. It's not time yet. I still have--	It's time.
It's time.	We'll do this again! Maybe next week. Here's your hat. Could I wrap something up for you? Did you have a coat?
We'll do this again! Maybe next week. Here's your hat. Could I wrap something up for you? Did you have a coat?	I'm sorry everyone, but given this extraordinary turn of events, I think it's prudent that we cut the evening short. I'm sure this Cuban thing will resolve itself, but in the meantime...I'd suggest taking a prayerful watch-and-wait stance!
I'm sorry everyone, but given this extraordinary turn of events, I think it's prudent that we cut the evening short. I'm sure this Cuban thing will resolve itself, but in the meantime...I'd suggest taking a prayerful watch-and-wait stance!	You bet, hon!
You bet, hon!	Well, put it down and come in!
Well, put it down and come in!	Sorry, honey!  I just got to fooling with this darn rheostat.
Sorry, honey!  I just got to fooling with this darn rheostat.	For Pete's sake, Calvin!  We've got guests!
For Pete's sake, Calvin!  We've got guests!	I guess we shouldn't fight in here.
I guess we shouldn't fight in here.	Stop it, you two!
Stop it, you two!	Yeah. Before I kick your ass.
Yeah. Before I kick your ass.	Go home, Adam.  Go to your hotel.
Go home, Adam.  Go to your hotel.	You know, I don't know.  And looking at you, I don't care.  It's been too long, Eve.
You know, I don't know.  And looking at you, I don't care.  It's been too long, Eve.	So where is your roommate, the model?
So where is your roommate, the model?	Shana Gillroy's apartment.  Remember her?  The model who went to Harvard? Well, I better get going!  Bye, Adam. Nice coat!
Shana Gillroy's apartment.  Remember her?  The model who went to Harvard? Well, I better get going!  Bye, Adam. Nice coat!	Go home, Cliff, wherever that might be.
Go home, Cliff, wherever that might be.	This is Adam.  Adam, meet Cliff.
This is Adam.  Adam, meet Cliff.	Hey, they're Ralph Laurens.  And who's this interesting looking fellow?
Hey, they're Ralph Laurens.  And who's this interesting looking fellow?	You came back for these?
You came back for these?	Your stuff?  Let me see that.
Your stuff?  Let me see that.	I forgot some of my stuff.
I forgot some of my stuff.	What are you doing here?
What are you doing here?	What are you bitching about now?
What are you bitching about now?	Stop!
Stop!	Where?!
Where?!	Adam!!
Adam!!	Yeah.  Maybe he'll call.
Yeah.  Maybe he'll call.	Well, we've come a long way, haven't we?  I want to go home.
Well, we've come a long way, haven't we?  I want to go home.	None of this stuff was here in 1962. The Valley was mostly small homes and fruit orchards.
None of this stuff was here in 1962. The Valley was mostly small homes and fruit orchards.	Why would you put a fallout shelter under a porno shop?
Why would you put a fallout shelter under a porno shop?	Come on.
Come on.	An adult bookstore. He was very excited about seeing it. You think home is under a dirty bookstore in the Valley?
An adult bookstore. He was very excited about seeing it. You think home is under a dirty bookstore in the Valley?	What?!
What?!	No. No, wait a minute. We stopped at a porno store.
No. No, wait a minute. We stopped at a porno store.	You didn't stop anywhere else?!
You didn't stop anywhere else?!	We came back to the house!
We came back to the house!	Then what?
Then what?	To get some frozen poultry.
To get some frozen poultry.	Well, at least I fell for him before I found out he was rich! That's new.  Wait a minute! He said today he knew where home was. What happened this morning?! Where did you go?!
Well, at least I fell for him before I found out he was rich! That's new.  Wait a minute! He said today he knew where home was. What happened this morning?! Where did you go?!	I don't know. I like to think so.
I don't know. I like to think so.	He was always so "nice"! How was I supposed to know that's a good thing?! "Nice" is weird! Nice is...what is "nice"? It's not cool! I'll tell you that.  Was it ever?
He was always so "nice"! How was I supposed to know that's a good thing?! "Nice" is weird! Nice is...what is "nice"? It's not cool! I'll tell you that.  Was it ever?	Yeah! That's thinking.
Yeah! That's thinking.	Have him committed.
Have him committed.	Millions upon millions upon millions! The cards. The stock!  The clothes! The toothpaste!  The guy was on the level!  And you blew it!  A man walks into your life who is the kindest, most polite, honest, trustworthy, incredibly rich guy you have ever met in your life!! And what do you do?!
Millions upon millions upon millions! The cards. The stock!  The clothes! The toothpaste!  The guy was on the level!  And you blew it!  A man walks into your life who is the kindest, most polite, honest, trustworthy, incredibly rich guy you have ever met in your life!! And what do you do?!	See these?  Found them in the box with the cards.  These are stock certificates.  IBM.  AT&T.  Polaroid.
See these?  Found them in the box with the cards.  These are stock certificates.  IBM.  AT&T.  Polaroid.	I don't know.  Everything's so neat. It's all just so...goddamn dear.  Damn!
I don't know.  Everything's so neat. It's all just so...goddamn dear.  Damn!	What's wrong?
What's wrong?	We'll find him.
We'll find him.	And if we can't find him?
